,Unnamed: 0,name,bubble,review
0,0,Bonjour Vietnam,4 ud af 5 bobler,391 anmeldelser
1,1,Grams Lækkerier,5 ud af 5 bobler,718 anmeldelser
2,2,Restaurant Krebsegaarden,5 ud af 5 bobler,1.309 anmeldelser
3,3,The Olive Kitchen & Bar,5 ud af 5 bobler,2.135 anmeldelser
4,4,Søllerød Kro,5 ud af 5 bobler,337 anmeldelser
5,5,Zahida at Kellerdirk,5 ud af 5 bobler,876 anmeldelser
6,6,The Pescatarian,5 ud af 5 bobler,196 anmeldelser
7,7,Pizzeria Mamemi & Wine Bar,5 ud af 5 bobler,926 anmeldelser
8,8,Geranium,"4,5 ud af 5 bobler",1.053 anmeldelser
9,9,Café Komplet,"4,5 ud af 5 bobler",348 anmeldelser
10,10,Marv & Ben,"4,5 ud af 5 bobler",642 anmeldelser
11,11,Enomania,"4,5 ud af 5 bobler",245 anmeldelser
12,12,Banana Joe,"4,5 ud af 5 bobler",411 anmeldelser
13,13,Kokkeriet,"4,5 ud af 5 bobler",769 anmeldelser
14,14,Husmann's Vinstue,"4,5 ud af 5 bobler",254 anmeldelser
15,15,Mielcke & Hurtigkarl,"4,5 ud af 5 bobler",252 anmeldelser
16,16,Restaurant leaven,"4,5 ud af 5 bobler",309 anmeldelser
17,17,Trattoria SUD,"4,5 ud af 5 bobler",306 anmeldelser
18,18,Basso København,"4,5 ud af 5 bobler",339 anmeldelser
19,19,Restaurant Schonnemann,"4,5 ud af 5 bobler",161 anmeldelser
20,20,BODIL - et spisested,"4,5 ud af 5 bobler",208 anmeldelser
21,21,The Red Box,"4,5 ud af 5 bobler",515 anmeldelser
22,22,Studio - The Standard,"4,5 ud af 5 bobler",452 anmeldelser
23,23,Trattoria l’Alba,"4,5 ud af 5 bobler",175 anmeldelser
24,24,Ché Fè,"4,5 ud af 5 bobler",578 anmeldelser
25,25,Frederiks Have,"4,5 ud af 5 bobler",529 anmeldelser
26,26,Café Patina,"4,5 ud af 5 bobler",96 anmeldelser
27,27,Goomi,"4,5 ud af 5 bobler",271 anmeldelser
28,28,Feed Bistro,"4,5 ud af 5 bobler",548 anmeldelser
29,29,Restaurant Grønnegade,"4,5 ud af 5 bobler",525 anmeldelser
30,30,Restaurant Garden,"4,5 ud af 5 bobler",133 anmeldelser
32,1,Souls,"4,5 ud af 5 bobler",646 anmeldelser
33,2,Restaurant Cofoco,"4,5 ud af 5 bobler",1.066 anmeldelser
34,3,Kong Hans Kaelder,"4,5 ud af 5 bobler",286 anmeldelser
35,4,Bastard Café,"4,5 ud af 5 bobler",241 anmeldelser
36,5,Madglad,"4,5 ud af 5 bobler",169 anmeldelser
37,6,Noma,"4,5 ud af 5 bobler",1.643 anmeldelser
38,7,L'Enoteca di Mr. Brunello Restaurant & Wine Shop,"4,5 ud af 5 bobler",219 anmeldelser
39,8,Vaekst,"4,5 ud af 5 bobler",546 anmeldelser
40,9,Sankt Annae 8,"4,5 ud af 5 bobler",203 anmeldelser
41,10,Restaurant Nepali Bhancha,"4,5 ud af 5 bobler",223 anmeldelser
42,11,Höst,"4,5 ud af 5 bobler",2.021 anmeldelser
43,12,Restaurant Under Uret - Frokost,"4,5 ud af 5 bobler",166 anmeldelser
44,13,Temporada Tapasbodega,"4,5 ud af 5 bobler",282 anmeldelser
45,14,Frenchy,"4,5 ud af 5 bobler",190 anmeldelser
46,15,Chao Viet Kitchen,"4,5 ud af 5 bobler",361 anmeldelser
47,16,Restaurant Radio,"4,5 ud af 5 bobler",846 anmeldelser
48,17,KöD Vesterbro,"4,5 ud af 5 bobler",765 anmeldelser
49,18,Sporvejen,"4,5 ud af 5 bobler",973 anmeldelser
50,19,Restaurant Schoennemann,"4,5 ud af 5 bobler",729 anmeldelser
51,20,Morgenstedet,"4,5 ud af 5 bobler",244 anmeldelser
52,21,Restaurant Amalie,"4,5 ud af 5 bobler",415 anmeldelser
53,22,Restaurant Tight,"4,5 ud af 5 bobler",2.862 anmeldelser
54,23,Hey Darling,5 ud af 5 bobler,85 anmeldelser
55,24,Kadeau,"4,5 ud af 5 bobler",296 anmeldelser
56,25,Mad & Kaffe,"4,5 ud af 5 bobler",527 anmeldelser
57,26,Souls Nørreport,"4,5 ud af 5 bobler",108 anmeldelser
58,27,BENTO Restaurant & Cocktail Bar,"4,5 ud af 5 bobler",287 anmeldelser
59,28,KöD København,"4,5 ud af 5 bobler",1.010 anmeldelser
60,29,Kiin Kiin,"4,5 ud af 5 bobler",800 anmeldelser
61,30,Khun Juk Oriental,"4,5 ud af 5 bobler",809 anmeldelser
62,0,Restaurant Ibu,"4,5 ud af 5 bobler",42 anmeldelser
63,1,Restaurant Ravelinen,"4,5 ud af 5 bobler",353 anmeldelser
64,2,Palæ Bar,"4,5 ud af 5 bobler",135 anmeldelser
65,3,Chez Bruno,"4,5 ud af 5 bobler",392 anmeldelser
66,4,Stempel - Bar & Kitchen,"4,5 ud af 5 bobler",263 anmeldelser
67,5,Aamanns Etablissement,"4,5 ud af 5 bobler",192 anmeldelser
68,6,Era Ora,"4,5 ud af 5 bobler",601 anmeldelser
69,7,Bowl Market Copenhagen,"4,5 ud af 5 bobler",113 anmeldelser
70,8,Aamanns 1921,"4,5 ud af 5 bobler",204 anmeldelser
71,9,Den Lille Fede Restaurant,"4,5 ud af 5 bobler",721 anmeldelser
72,10,RetroGusto,"4,5 ud af 5 bobler",571 anmeldelser
73,11,Restaurant AOC,"4,5 ud af 5 bobler",326 anmeldelser
74,12,Black Swan,"4,5 ud af 5 bobler",117 anmeldelser
75,13,Toto Vin & Spisebar,"4,5 ud af 5 bobler",87 anmeldelser
76,14,Restaurant Palægade,"4,5 ud af 5 bobler",326 anmeldelser
77,15,Cafe Gl. Torv - Huset med det grønne træ,"4,5 ud af 5 bobler",195 anmeldelser
78,16,Asador,"4,5 ud af 5 bobler",439 anmeldelser
79,17,Ravnsborg Kitchen & Bar,"4,5 ud af 5 bobler",336 anmeldelser
80,18,Pony,"4,5 ud af 5 bobler",274 anmeldelser
81,19,Halifax København K,"4,5 ud af 5 bobler",258 anmeldelser
82,20,simpleRAW,"4,5 ud af 5 bobler",230 anmeldelser
83,21,Restaurant Brace,"4,5 ud af 5 bobler",198 anmeldelser
84,22,Formel B,"4,5 ud af 5 bobler",608 anmeldelser
85,23,Restaurant Koefoed,"4,5 ud af 5 bobler",674 anmeldelser
86,24,Ristorante Buono,"4,5 ud af 5 bobler",169 anmeldelser
87,25,Fleisch,"4,5 ud af 5 bobler",431 anmeldelser
88,26,Jurfood,5 ud af 5 bobler,115 anmeldelser
89,27,Sticks'n'Sushi,"4,5 ud af 5 bobler",309 anmeldelser
90,28,Fuego,"4,5 ud af 5 bobler",676 anmeldelser
92,30,Damindra,"4,5 ud af 5 bobler",481 anmeldelser
93,0,Iki Sushi Vesterbro,"3,5 ud af 5 bobler",8 anmeldelser
94,1,Le Pave,"4,5 ud af 5 bobler",264 anmeldelser
95,2,Punk Royale,5 ud af 5 bobler,82 anmeldelser
96,3,Amass,"4,5 ud af 5 bobler",599 anmeldelser
98,5,Aamanns Deli & Take Away,"4,5 ud af 5 bobler",607 anmeldelser
99,6,El Meson,"4,5 ud af 5 bobler",267 anmeldelser
100,7,Slurp Ramen Joint,"4,5 ud af 5 bobler",145 anmeldelser
101,8,Terra Restaurant and Cocktail bar,5 ud af 5 bobler,82 anmeldelser
102,9,Restaurant Karla,"4,5 ud af 5 bobler",944 anmeldelser
103,10,Lolly,5 ud af 5 bobler,72 anmeldelser
104,11,Restaurant Kronborg,"4,5 ud af 5 bobler",478 anmeldelser
105,12,Cafe Lindevang,"4,5 ud af 5 bobler",233 anmeldelser
106,13,Mikkeller Bar,"4,5 ud af 5 bobler",859 anmeldelser
107,14,Restaurant Tio Marios,"4,5 ud af 5 bobler",212 anmeldelser
108,15,Reinwald's,"4,5 ud af 5 bobler",175 anmeldelser
109,16,Sidecar,"4,5 ud af 5 bobler",132 anmeldelser
110,17,Ristorante Da Claudio,"4,5 ud af 5 bobler",259 anmeldelser
111,18,Alchemist,5 ud af 5 bobler,67 anmeldelser
112,19,Villa Vino,"4,5 ud af 5 bobler",160 anmeldelser
113,20,Flottenheimer,"4,5 ud af 5 bobler",378 anmeldelser
114,21,La Vita e Bella,"4,5 ud af 5 bobler",899 anmeldelser
115,22,District Tonkin - Bánh Mí,"4,5 ud af 5 bobler",211 anmeldelser
116,23,Halifax,"4,5 ud af 5 bobler",558 anmeldelser
117,24,Christianshavns Færgecafé,"4,5 ud af 5 bobler",448 anmeldelser
118,25,Restaurant U Formel,"4,5 ud af 5 bobler",504 anmeldelser
119,26,Kompasset,"4,5 ud af 5 bobler",273 anmeldelser
120,27,El Viejo Mexico,"4,5 ud af 5 bobler",827 anmeldelser
121,28,56°,"4,5 ud af 5 bobler",208 anmeldelser
122,29,Told&Snaps,"4,5 ud af 5 bobler",537 anmeldelser
123,30,Restaurant Kanalen,4 ud af 5 bobler,415 anmeldelser
125,1,Hatoba Sushi,"4,5 ud af 5 bobler",134 anmeldelser
126,2,Cafe Petersborg,4 ud af 5 bobler,410 anmeldelser
127,3,Retour Steak,4 ud af 5 bobler,369 anmeldelser
128,4,The Union Kitchen,4 ud af 5 bobler,768 anmeldelser
129,5,Riz Raz,4 ud af 5 bobler,1.097 anmeldelser
130,6,Kayak Bar,"4,5 ud af 5 bobler",157 anmeldelser
131,7,Neighbourhood,4 ud af 5 bobler,700 anmeldelser
132,8,Atlas bar,4 ud af 5 bobler,312 anmeldelser
133,9,Spiseloppen Christiania,"4,5 ud af 5 bobler",237 anmeldelser
134,10,Cafe Wilder,4 ud af 5 bobler,396 anmeldelser
135,11,BrewPub København,4 ud af 5 bobler,569 anmeldelser
136,12,MASH,4 ud af 5 bobler,1.097 anmeldelser
137,13,Restaurant Barr,4 ud af 5 bobler,278 anmeldelser
138,14,Lumskebugten,"4,5 ud af 5 bobler",215 anmeldelser
139,15,Mon Amour,4 ud af 5 bobler,347 anmeldelser
140,16,Skindbuksen,4 ud af 5 bobler,550 anmeldelser
141,17,Restaurant Zeleste,4 ud af 5 bobler,552 anmeldelser
142,18,Sokkelund Cafe & Brasserie,4 ud af 5 bobler,493 anmeldelser
143,19,SSAM Korean Food Bar,"4,5 ud af 5 bobler",162 anmeldelser
144,20,Restaurant HUMMER,4 ud af 5 bobler,312 anmeldelser
145,21,Gitte Kik,4 ud af 5 bobler,278 anmeldelser
146,22,Restaurant no. 2,4 ud af 5 bobler,341 anmeldelser
147,23,Kodbyens Fiskebar,4 ud af 5 bobler,2.417 anmeldelser
148,24,Ristorante La Rocca,4 ud af 5 bobler,620 anmeldelser
149,25,Veve,"4,5 ud af 5 bobler",94 anmeldelser
150,26,Restaurant Vita,4 ud af 5 bobler,495 anmeldelser
151,27,SALT bar & restaurant,4 ud af 5 bobler,1.043 anmeldelser
152,28,Det lille Apotek,4 ud af 5 bobler,933 anmeldelser
153,29,Ida Davidsen,4 ud af 5 bobler,569 anmeldelser
154,30,RizRaz,4 ud af 5 bobler,519 anmeldelser
156,1,Spuntino,4 ud af 5 bobler,272 anmeldelser
157,2,Norrebro Bryghus,4 ud af 5 bobler,539 anmeldelser
158,3,Coq en Pate,"4,5 ud af 5 bobler",53 anmeldelser
159,4,Restaurant l'Alsace,4 ud af 5 bobler,304 anmeldelser
160,5,Vinvaerten Gothersgade,4 ud af 5 bobler,180 anmeldelser
161,6,Døp,"4,5 ud af 5 bobler",93 anmeldelser
162,7,Hviids Vinstue,4 ud af 5 bobler,259 anmeldelser
163,8,Amadeus,4 ud af 5 bobler,306 anmeldelser
164,9,Restaurant CLOU,"4,5 ud af 5 bobler",132 anmeldelser
165,10,Duck and Cover,"4,5 ud af 5 bobler",92 anmeldelser
166,11,Københavner Cafeen,4 ud af 5 bobler,269 anmeldelser
167,12,San Marco Junior,"4,5 ud af 5 bobler",122 anmeldelser
168,13,Retour Steak Vesterbro,4 ud af 5 bobler,269 anmeldelser
169,14,Royal Smushi Cafe,4 ud af 5 bobler,440 anmeldelser
170,15,Sale é Pepe,"4,5 ud af 5 bobler",96 anmeldelser
171,16,Axelborg Bodega,4 ud af 5 bobler,295 anmeldelser
172,17,Madklubben Bistro De Luxe,4 ud af 5 bobler,631 anmeldelser
173,18,FAMO,4 ud af 5 bobler,349 anmeldelser
174,19,Laundromat Cafe,4 ud af 5 bobler,261 anmeldelser
175,20,Restaurant Brdr. Price,4 ud af 5 bobler,441 anmeldelser
176,21,Pintxos,4 ud af 5 bobler,474 anmeldelser
177,22,Madenitaly,"4,5 ud af 5 bobler",75 anmeldelser
178,23,Pluto,4 ud af 5 bobler,807 anmeldelser
179,24,Restaurant BASALT,4 ud af 5 bobler,176 anmeldelser
180,25,Musling Bistro,4 ud af 5 bobler,211 anmeldelser
181,26,Cock's & Cows SP34,4 ud af 5 bobler,241 anmeldelser
182,27,Voulez Vous,"4,5 ud af 5 bobler",96 anmeldelser
183,28,Altopalato,"4,5 ud af 5 bobler",128 anmeldelser
184,29,Heering Restaurant and Bistro,4 ud af 5 bobler,725 anmeldelser
185,30,Cafe Sorgenfri,4 ud af 5 bobler,355 anmeldelser
187,1,Cafe Munk,4 ud af 5 bobler,174 anmeldelser
188,2,Limone Piazza,5 ud af 5 bobler,45 anmeldelser
189,3,Ellas,"4,5 ud af 5 bobler",94 anmeldelser
190,4,Barburrito,4 ud af 5 bobler,255 anmeldelser
191,5,Brus,"4,5 ud af 5 bobler",125 anmeldelser
192,6,Scurry Hub,"4,5 ud af 5 bobler",156 anmeldelser
193,7,Meatpacking District Food,"4,5 ud af 5 bobler",100 anmeldelser
194,8,Café Victor,4 ud af 5 bobler,637 anmeldelser
195,9,Admiralgade 26,"4,5 ud af 5 bobler",79 anmeldelser
196,10,Frk. Barners Kaelder,4 ud af 5 bobler,1.358 anmeldelser
197,11,Restaurationen,"4,5 ud af 5 bobler",148 anmeldelser
198,12,The South Indian Vesterbro,4 ud af 5 bobler,198 anmeldelser
199,13,Ris8,"4,5 ud af 5 bobler",66 anmeldelser
200,14,L'éducation Nationale,4 ud af 5 bobler,287 anmeldelser
201,15,Karma Sushi Nyhavn,4 ud af 5 bobler,253 anmeldelser
202,16,Khmer Cuisine,"4,5 ud af 5 bobler",57 anmeldelser
203,17,Bastards,"4,5 ud af 5 bobler",167 anmeldelser
204,18,Restaurant Uma,4 ud af 5 bobler,130 anmeldelser
205,19,La Fiesta Mexicana,4 ud af 5 bobler,187 anmeldelser
206,20,Pastis,4 ud af 5 bobler,414 anmeldelser
207,21,Madklubben Grill Copenhagen,4 ud af 5 bobler,438 anmeldelser
208,22,Restaurant Rebel,4 ud af 5 bobler,161 anmeldelser
209,23,Carne Famo,"4,5 ud af 5 bobler",216 anmeldelser
210,24,Famosi e Golosi,"4,5 ud af 5 bobler",111 anmeldelser
211,25,Restaurant Sahil,4 ud af 5 bobler,215 anmeldelser
212,26,H table,5 ud af 5 bobler,35 anmeldelser
213,27,Cafe Feel Good,"4,5 ud af 5 bobler",69 anmeldelser
214,28,A.C. Perch's Thehandel,4 ud af 5 bobler,177 anmeldelser
215,29,Søren K,4 ud af 5 bobler,259 anmeldelser
216,30,Ristorante La Buca degli Artisti,"4,5 ud af 5 bobler",145 anmeldelser
218,1,Restaurant Gorilla,4 ud af 5 bobler,765 anmeldelser
219,2,Restaurant Godt,"4,5 ud af 5 bobler",95 anmeldelser
220,3,Restaurant 1733,5 ud af 5 bobler,63 anmeldelser
221,4,Restaurant Alouette,"4,5 ud af 5 bobler",47 anmeldelser
222,5,Restaurant Diamond Rice,4 ud af 5 bobler,315 anmeldelser
223,6,The Fat Pike,"4,5 ud af 5 bobler",52 anmeldelser
224,7,Anarki,"4,5 ud af 5 bobler",96 anmeldelser
225,8,K-bar,"4,5 ud af 5 bobler",74 anmeldelser
226,9,Restaurant Fridas,4 ud af 5 bobler,309 anmeldelser
227,10,Dalle Valle,4 ud af 5 bobler,925 anmeldelser
228,11,Tapa del Toro,"4,5 ud af 5 bobler",114 anmeldelser
229,12,Huks Fluks,4 ud af 5 bobler,385 anmeldelser
230,13,Ma'ed,"4,5 ud af 5 bobler",110 anmeldelser
231,14,Restaurant Jacobsen,4 ud af 5 bobler,258 anmeldelser
232,15,Restauarant Dada,"4,5 ud af 5 bobler",97 anmeldelser
233,16,Peder Oxe,4 ud af 5 bobler,1.225 anmeldelser
234,17,Les Trois Cochons,4 ud af 5 bobler,449 anmeldelser
236,19,Restaurant SULT,4 ud af 5 bobler,244 anmeldelser
237,20,Cock's & Cows Gl. Strand,4 ud af 5 bobler,917 anmeldelser
238,21,Oscar Bar Cafe,4 ud af 5 bobler,239 anmeldelser
239,22,Baan Thai Isarn,4 ud af 5 bobler,148 anmeldelser
240,23,Café Gavlen,"4,5 ud af 5 bobler",72 anmeldelser
241,24,B'india,"4,5 ud af 5 bobler",171 anmeldelser
242,25,Baest,4 ud af 5 bobler,747 anmeldelser
243,26,Floras Cafe & Steakhouse,4 ud af 5 bobler,496 anmeldelser
244,27,Ristorante L’Appetito,4 ud af 5 bobler,301 anmeldelser
245,28,Al-Diwan,4 ud af 5 bobler,174 anmeldelser
246,29,Nimb Brasserie,4 ud af 5 bobler,864 anmeldelser
247,30,Poonchai Thai Restaurant,4 ud af 5 bobler,403 anmeldelser
249,1,NyhavnsKroen,4 ud af 5 bobler,293 anmeldelser
250,2,Midori - Izakaya and Greenery,"4,5 ud af 5 bobler",78 anmeldelser
251,3,Broens Gadekøkken,"4,5 ud af 5 bobler",72 anmeldelser
252,4,Cafe Fremtiden,4 ud af 5 bobler,105 anmeldelser
253,5,Bistro Royal,4 ud af 5 bobler,562 anmeldelser
254,6,FEDTEGREVEN BistroBodega,"4,5 ud af 5 bobler",70 anmeldelser
255,7,Sushi Lovers Torvehallerne,"4,5 ud af 5 bobler",122 anmeldelser
256,8,Tivoli Hotel,4 ud af 5 bobler,239 anmeldelser
257,9,Tony's,4 ud af 5 bobler,439 anmeldelser
259,11,Cap Horn,4 ud af 5 bobler,1.486 anmeldelser
260,12,Wining & Dining,"4,5 ud af 5 bobler",128 anmeldelser
261,13,Trattoria FIAT,4 ud af 5 bobler,1.018 anmeldelser
262,14,Ristorante Fabio,4 ud af 5 bobler,295 anmeldelser
263,15,Sachi Sushi,4 ud af 5 bobler,139 anmeldelser
264,16,JaDa! Cafe,5 ud af 5 bobler,27 anmeldelser
265,17,Lazio,"4,5 ud af 5 bobler",116 anmeldelser
266,18,Nærvær,"4,5 ud af 5 bobler",72 anmeldelser
267,19,GURU,4 ud af 5 bobler,810 anmeldelser
268,20,Restaurant Bar´bette,4 ud af 5 bobler,105 anmeldelser
269,21,Italo Disco,"4,5 ud af 5 bobler",62 anmeldelser
270,22,Restaurant Kareten,"4,5 ud af 5 bobler",104 anmeldelser
271,23,Ban Gaw,4 ud af 5 bobler,198 anmeldelser
272,24,Hachi Sushi,5 ud af 5 bobler,45 anmeldelser
273,25,Beyzade,"4,5 ud af 5 bobler",59 anmeldelser
274,26,Bankeråt,4 ud af 5 bobler,123 anmeldelser
275,27,Orangeriet,4 ud af 5 bobler,333 anmeldelser
276,28,La Galette,4 ud af 5 bobler,206 anmeldelser
277,29,Hidden Dimsum,"4,5 ud af 5 bobler",99 anmeldelser
278,30,The South Indian Frederisberg,4 ud af 5 bobler,115 anmeldelser
280,1,Co-ma Bistro,4 ud af 5 bobler,121 anmeldelser
281,2,Thirion - Charcuterie & Vins,5 ud af 5 bobler,43 anmeldelser
282,3,Rasoi,4 ud af 5 bobler,191 anmeldelser
283,4,Deligreco,4 ud af 5 bobler,170 anmeldelser
284,5,Rambla,4 ud af 5 bobler,235 anmeldelser
285,6,Barril,"4,5 ud af 5 bobler",73 anmeldelser
286,7,Nyhavns Faergekro,4 ud af 5 bobler,1.019 anmeldelser
287,8,Krøgers Familiehave,4 ud af 5 bobler,173 anmeldelser
288,9,La Bonne,"4,5 ud af 5 bobler",36 anmeldelser
289,10,Restaurant D'Angleterre,"4,5 ud af 5 bobler",122 anmeldelser
290,11,Granola,4 ud af 5 bobler,491 anmeldelser
291,12,Behov,"4,5 ud af 5 bobler",80 anmeldelser
292,13,Hereford Steak,4 ud af 5 bobler,225 anmeldelser
294,15,Il Ponte Restaurant,4 ud af 5 bobler,187 anmeldelser
295,16,Cantina,4 ud af 5 bobler,239 anmeldelser
296,17,Vespa,4 ud af 5 bobler,182 anmeldelser
297,18,Fru Nimb,4 ud af 5 bobler,226 anmeldelser
298,19,Nimb Bar’N' Grill,4 ud af 5 bobler,151 anmeldelser
299,20,Antons Køkken,4 ud af 5 bobler,173 anmeldelser
300,21,Restaurant Dubrovnik,4 ud af 5 bobler,96 anmeldelser
301,22,Cube Bar,"4,5 ud af 5 bobler",54 anmeldelser
302,23,WOK Vesterbro,"4,5 ud af 5 bobler",110 anmeldelser
303,24,Restaurant Viva,4 ud af 5 bobler,114 anmeldelser
304,25,MASH Penthouse,4 ud af 5 bobler,355 anmeldelser
305,26,Restaurant LêLê,"3,5 ud af 5 bobler",494 anmeldelser
306,27,Perbacco,5 ud af 5 bobler,63 anmeldelser
307,28,Falernum,4 ud af 5 bobler,121 anmeldelser
308,29,Restaurant Sankt Annae,4 ud af 5 bobler,239 anmeldelser
309,30,Kopan Rice,"4,5 ud af 5 bobler",37 anmeldelser
311,1,Haché Gourmet Burgers,4 ud af 5 bobler,210 anmeldelser
312,2,Mums Deli,5 ud af 5 bobler,28 anmeldelser
313,3,Dag H,4 ud af 5 bobler,256 anmeldelser
314,4,Hot Pot Republic,"4,5 ud af 5 bobler",85 anmeldelser
315,5,Le Petit i Torvehallerne,"4,5 ud af 5 bobler",54 anmeldelser
316,6,Restaurant Trio,4 ud af 5 bobler,130 anmeldelser
317,7,20 a,4 ud af 5 bobler,85 anmeldelser
318,8,Gemyse,4 ud af 5 bobler,117 anmeldelser
319,9,Voraz Bar & Café,"4,5 ud af 5 bobler",88 anmeldelser
320,10,Blue Bike Café,"4,5 ud af 5 bobler",50 anmeldelser
321,11,Restaurant Taller,"4,5 ud af 5 bobler",62 anmeldelser
322,12,Nytorv Restaurant and Cafe,"3,5 ud af 5 bobler",446 anmeldelser
323,13,Brooklyn Bar København,4 ud af 5 bobler,223 anmeldelser
324,14,Dina Bar Kafe,5 ud af 5 bobler,25 anmeldelser
325,15,Ravnsborg Vinbar,4 ud af 5 bobler,73 anmeldelser
326,16,Nobu,4 ud af 5 bobler,153 anmeldelser
327,17,PUBLIC - The Italian Social Dining Bar,"4,5 ud af 5 bobler",53 anmeldelser
328,18,Ristorante Cafe Leo,"4,5 ud af 5 bobler",104 anmeldelser
329,19,Duck It,"4,5 ud af 5 bobler",52 anmeldelser
330,20,BOB Biomio Organic Bistro,"3,5 ud af 5 bobler",664 anmeldelser
331,21,Gronsagen,"4,5 ud af 5 bobler",40 anmeldelser
332,22,Restaurant M,4 ud af 5 bobler,145 anmeldelser
333,23,Cafe Royal,"4,5 ud af 5 bobler",57 anmeldelser
334,24,The Old English Pub,4 ud af 5 bobler,173 anmeldelser
335,25,Cafe Langebro,"4,5 ud af 5 bobler",67 anmeldelser
337,27,Restaurant Galionen,"3,5 ud af 5 bobler",312 anmeldelser
338,28,Cafe G,"3,5 ud af 5 bobler",309 anmeldelser
339,29,Halifax Vesterbrogade,4 ud af 5 bobler,75 anmeldelser
340,30,Cafe Kitchenette,4 ud af 5 bobler,149 anmeldelser
343,2,Grillen Christianshavn,4 ud af 5 bobler,99 anmeldelser
344,3,The Italian,"3,5 ud af 5 bobler",461 anmeldelser
345,4,Pizza Time,"4,5 ud af 5 bobler",67 anmeldelser
346,5,Noho,"4,5 ud af 5 bobler",40 anmeldelser
347,6,FAMO Metro,4 ud af 5 bobler,122 anmeldelser
348,7,Hanzo,4 ud af 5 bobler,118 anmeldelser
349,8,Tapas Huset,"3,5 ud af 5 bobler",375 anmeldelser
350,9,Balthazar Champagne Bar,"4,5 ud af 5 bobler",112 anmeldelser
351,10,Teaterkaelderen,4 ud af 5 bobler,90 anmeldelser
